reviewTitle,reviewBody,title_sentiment,body_sentiment,title_aspects,title_sentiments,body_aspects,body_sentiments
Love the quality,2nd time purchased from this store,positive,neutral,['quality'],{'quality': 'positive'},"['store', 'time']","{'store': 'neutral', 'time': 'neutral'}"
Nice,Very comfortable,positive,positive,['nice'],{'nice': 'positive'},['comfortable'],{'comfortable': 'positive'}
If they actually worked fully....,Works okay.  Little pricey for them though.,neutral,positive,['....'],{'....': 'neutral'},"['little', 'pricey', 'works']","{'little': 'positive', 'pricey': 'positive', 'works': 'positive'}"
More shedding than my dog!!,"I wanted to like the bed and at first it worked great, it fit perfectly in my dogs crate and he seemed to be comfortable enough with it. HOWEVER, it sheds like CRAZY! I had read a review talking about that, but I decided to buy it anyways cus it could’ve just been their bed. Turns out it’s mine too. Every single day I would have to vacuum inside and around on the outside of his crate because the fur balls that would come off the bed were so much that they would get carried out around the living room (where the crates at) by the normal inside air. It was so annoying. Not to mention my dog has allergies and the amount of fur that came off the bed was very uncomfortable for him to the point he couldn’t sleep in his crate with that bed. It was a problem for me because his crate doesn’t have a base (it was a hand-me-down crate) so the bed had to be there or he would be even more uncomfortable. Anyway, point is this bed although seemed to work for the price, now has to been thrown away because it is completely useless to me and no amount of vacuuming stops the fur from coming off. I imagine the bed would have to be furless for that to happen. So waste of money there.",neutral,negative,['dog'],{'dog': 'neutral'},"['hand-me-down', 'amount', 'fur', 'furless', 'living', 'dogs', 've', 'every', 'comfortable', 'single', 'crates', 'crazy', 'outside', 'problem', 't', 'base', 'useless', 'bed', 'review', 'price', 'however', 'great', 'waste', 'dog', 'air', 'inside', 'first', 'crate', 'much', 'mine', 'money', 's', 'point', 'room', 'allergies', '’', 'doesn', 'anyway', 'day', 'uncomfortable', 'normal', 'so', 'sleep']","{'hand-me-down': 'negative', 'amount': 'negative', 'fur': 'negative', 'furless': 'negative', 'living': 'negative', 'dogs': 'negative', 've': 'negative', 'every': 'negative', 'comfortable': 'negative', 'single': 'negative', 'crates': 'negative', 'crazy': 'negative', 'outside': 'negative', 'problem': 'negative', 't': 'negative', 'base': 'negative', 'useless': 'negative', 'bed': 'negative', 'review': 'negative', 'price': 'negative', 'however': 'negative', 'great': 'negative', 'waste': 'negative', 'dog': 'negative', 'air': 'negative', 'inside': 'negative', 'first': 'negative', 'crate': 'negative', 'much': 'negative', 'mine': 'negative', 'money': 'negative', 's': 'negative', 'point': 'negative', 'room': 'negative', 'allergies': 'negative', '’': 'negative', 'doesn': 'negative', 'anyway': 'negative', 'day': 'negative', 'uncomfortable': 'negative', 'normal': 'negative', 'so': 'negative', 'sleep': 'negative'}"
love this cup,Perfect for  cup of tea,positive,positive,['cup'],{'cup': 'positive'},"['perfect', 'tea', 'cup']","{'perfect': 'positive', 'tea': 'positive', 'cup': 'positive'}"
Colorful and looks nice on my front porch.,Perfect for what I needed.,positive,positive,"['porch', 'nice', 'front', 'colorful']","{'porch': 'positive', 'nice': 'positive', 'front': 'positive', 'colorful': 'positive'}",['perfect'],{'perfect': 'positive'}
Size,"Great for small kitchens, highly effective (:",neutral,positive,['size'],{'size': 'neutral'},"['small', 'effective', 'great', 'kitchens']","{'small': 'positive', 'effective': 'positive', 'great': 'positive', 'kitchens': 'positive'}"
Great hat,Great hat,positive,positive,['great'],{'great': 'positive'},['great'],{'great': 'positive'}
Overall a beautiful puzzle,"Love him!! Been waiting to get him for a while and now he's finally part of my collection. I say it's easy to assemble because of experience, if you're a first-timer for the Crystal Puzzles he might be a little easy to do, just depends. Arrived within two days of shipping and he's a beautiful light ocean blue, stands out from a lot of the main colored puzzles I have.",positive,positive,"['puzzle', 'beautiful']","{'puzzle': 'positive', 'beautiful': 'positive'}","['easy', 'collection', 'light', 'ocean', 'love', 'colored', 'assemble', 'crystal', 'beautiful', 'while', 'first-timer', 'days', 'part', 'shipping', 'puzzles', 'experience', 'little', 'main', 'been', 'blue', 'lot']","{'easy': 'positive', 'collection': 'positive', 'light': 'positive', 'ocean': 'positive', 'love': 'positive', 'colored': 'positive', 'assemble': 'positive', 'crystal': 'positive', 'beautiful': 'positive', 'while': 'positive', 'first-timer': 'positive', 'days': 'positive', 'part': 'positive', 'shipping': 'positive', 'puzzles': 'positive', 'experience': 'positive', 'little': 'positive', 'main': 'positive', 'been': 'positive', 'blue': 'positive', 'lot': 'positive'}"
For everyone who loves maple syrup,Love the flavor. This is the first real great tasting sugar-free maple syrup that I have ever bought.,positive,positive,"['everyone', 'maple', 'syrup']","{'everyone': 'positive', 'maple': 'positive', 'syrup': 'positive'}","['sugar-free', 'maple', 'flavor', 'first', 'syrup', 'real', 'great']","{'sugar-free': 'positive', 'maple': 'positive', 'flavor': 'positive', 'first': 'positive', 'syrup': 'positive', 'real': 'positive', 'great': 'positive'}"
