reviewTitle,reviewBody,title_sentiment,body_sentiment,title_aspects,title_sentiments,body_aspects,body_sentiments
Love the quality,2nd time purchased from this store,positive,positive,['quality'],"[{'aspect': 'quality', 'negative': np.float32(0.0005145726), 'neutral': np.float32(0.001336081), 'positive': np.float32(0.9981494)}]","['store', 'time']","[{'aspect': 'store', 'negative': np.float32(0.015005064), 'neutral': np.float32(0.112728655), 'positive': np.float32(0.87226623)}, {'aspect': 'time', 'negative': np.float32(0.012911875), 'neutral': np.float32(0.25844455), 'positive': np.float32(0.72864354)}]"
Nice,Very comfortable,neutral,neutral,[],[],[],[]
If they actually worked fully....,Works okay.  Little pricey for them though.,neutral,neutral,[],[],[],[]
More shedding than my dog!!,"I wanted to like the bed and at first it worked great, it fit perfectly in my dogs crate and he seemed to be comfortable enough with it. HOWEVER, it sheds like CRAZY! I had read a review talking about that, but I decided to buy it anyways cus it could’ve just been their bed. Turns out it’s mine too. Every single day I would have to vacuum inside and around on the outside of his crate because the fur balls that would come off the bed were so much that they would get carried out around the living room (where the crates at) by the normal inside air. It was so annoying. Not to mention my dog has allergies and the amount of fur that came off the bed was very uncomfortable for him to the point he couldn’t sleep in his crate with that bed. It was a problem for me because his crate doesn’t have a base (it was a hand-me-down crate) so the bed had to be there or he would be even more uncomfortable. Anyway, point is this bed although seemed to work for the price, now has to been thrown away because it is completely useless to me and no amount of vacuuming stops the fur from coming off. I imagine the bed would have to be furless for that to happen. So waste of money there.",negative,negative,['dog'],"[{'aspect': 'dog', 'negative': np.float32(0.88622), 'neutral': np.float32(0.109289415), 'positive': np.float32(0.004490669)}]","['living', 'vacuuming', 'point', 'problem', 'CRAZY', 'dogs', 'day', 'balls', 'crates', 'allergies', 'fur', 'room', '’ve', 'furless', 'price', 'dog', 'crate', 'money', 'amount', 'me', 'bed', 'waste', 'base', 'outside', 'hand', 'review', 'air']","[{'aspect': 'living', 'negative': np.float32(0.88793397), 'neutral': np.float32(0.052414063), 'positive': np.float32(0.059651993)}, {'aspect': 'vacuuming', 'negative': np.float32(0.9419284), 'neutral': np.float32(0.026386656), 'positive': np.float32(0.031684972)}, {'aspect': 'point', 'negative': np.float32(0.8993729), 'neutral': np.float32(0.04129578), 'positive': np.float32(0.05933133)}, {'aspect': 'problem', 'negative': np.float32(0.89725685), 'neutral': np.float32(0.041774046), 'positive': np.float32(0.060969066)}, {'aspect': 'CRAZY', 'negative': np.float32(0.9067692), 'neutral': np.float32(0.03600573), 'positive': np.float32(0.057225127)}, {'aspect': 'dogs', 'negative': np.float32(0.8881219), 'neutral': np.float32(0.047654733), 'positive': np.float32(0.064223334)}, {'aspect': 'day', 'negative': np.float32(0.90868163), 'neutral': np.float32(0.043491952), 'positive': np.float32(0.047826424)}, {'aspect': 'balls', 'negative': np.float32(0.93167293), 'neutral': np.float32(0.028117247), 'positive': np.float32(0.040209852)}, {'aspect': 'crates', 'negative': np.float32(0.7959508), 'neutral': np.float32(0.1517005), 'positive': np.float32(0.052348733)}, {'aspect': 'allergies', 'negative': np.float32(0.8760019), 'neutral': np.float32(0.06160591), 'positive': np.float32(0.062392246)}, {'aspect': 'fur', 'negative': np.float32(0.908081), 'neutral': np.float32(0.035838556), 'positive': np.float32(0.056080487)}, {'aspect': 'room', 'negative': np.float32(0.9017257), 'neutral': np.float32(0.04426918), 'positive': np.float32(0.05400513)}, {'aspect': '’ve', 'negative': np.float32(0.88646644), 'neutral': np.float32(0.04562344), 'positive': np.float32(0.0679102)}, {'aspect': 'furless', 'negative': np.float32(0.91099876), 'neutral': np.float32(0.036995195), 'positive': np.float32(0.05200608)}, {'aspect': 'price', 'negative': np.float32(0.86786455), 'neutral': np.float32(0.045370057), 'positive': np.float32(0.086765386)}, {'aspect': 'dog', 'negative': np.float32(0.89449984), 'neutral': np.float32(0.042191952), 'positive': np.float32(0.063308105)}, {'aspect': 'crate', 'negative': np.float32(0.8908272), 'neutral': np.float32(0.04892997), 'positive': np.float32(0.060242906)}, {'aspect': 'money', 'negative': np.float32(0.93256885), 'neutral': np.float32(0.027047947), 'positive': np.float32(0.04038316)}, {'aspect': 'amount', 'negative': np.float32(0.91153204), 'neutral': np.float32(0.033099223), 'positive': np.float32(0.055368718)}, {'aspect': 'me', 'negative': np.float32(0.8884433), 'neutral': np.float32(0.044216666), 'positive': np.float32(0.067340076)}, {'aspect': 'bed', 'negative': np.float32(0.918977), 'neutral': np.float32(0.035807583), 'positive': np.float32(0.045215387)}, {'aspect': 'waste', 'negative': np.float32(0.90565926), 'neutral': np.float32(0.03695092), 'positive': np.float32(0.057389848)}, {'aspect': 'base', 'negative': np.float32(0.9165827), 'neutral': np.float32(0.041742567), 'positive': np.float32(0.041674748)}, {'aspect': 'outside', 'negative': np.float32(0.91012394), 'neutral': np.float32(0.055243555), 'positive': np.float32(0.034632396)}, {'aspect': 'hand', 'negative': np.float32(0.8922849), 'neutral': np.float32(0.051580086), 'positive': np.float32(0.056134947)}, {'aspect': 'review', 'negative': np.float32(0.9165472), 'neutral': np.float32(0.03980815), 'positive': np.float32(0.043644696)}, {'aspect': 'air', 'negative': np.float32(0.9165745), 'neutral': np.float32(0.05163826), 'positive': np.float32(0.03178722)}]"
love this cup,Perfect for  cup of tea,positive,positive,['cup'],"[{'aspect': 'cup', 'negative': np.float32(0.0005759633), 'neutral': np.float32(0.0015539133), 'positive': np.float32(0.9978701)}]","['cup', 'tea']","[{'aspect': 'cup', 'negative': np.float32(0.0014879232), 'neutral': np.float32(0.0076575326), 'positive': np.float32(0.9908545)}, {'aspect': 'tea', 'negative': np.float32(0.003600394), 'neutral': np.float32(0.07262456), 'positive': np.float32(0.923775)}]"
Colorful and looks nice on my front porch.,Perfect for what I needed.,neutral,neutral,['porch'],"[{'aspect': 'porch', 'negative': np.float32(0.0075812144), 'neutral': np.float32(0.7883592), 'positive': np.float32(0.20405951)}]",[],[]
Size,"Great for small kitchens, highly effective (:",positive,positive,['Size'],"[{'aspect': 'Size', 'negative': np.float32(0.17429668), 'neutral': np.float32(0.36987677), 'positive': np.float32(0.4558265)}]","['kitchens', '(:']","[{'aspect': 'kitchens', 'negative': np.float32(0.10097621), 'neutral': np.float32(0.77415276), 'positive': np.float32(0.124871)}, {'aspect': '(:', 'negative': np.float32(0.0013002988), 'neutral': np.float32(0.009710309), 'positive': np.float32(0.9889894)}]"
Great hat,Great hat,positive,positive,['hat'],"[{'aspect': 'hat', 'negative': np.float32(0.0006159343), 'neutral': np.float32(0.0015323653), 'positive': np.float32(0.9978517)}]",['hat'],"[{'aspect': 'hat', 'negative': np.float32(0.0006159343), 'neutral': np.float32(0.0015323653), 'positive': np.float32(0.9978517)}]"
Overall a beautiful puzzle,"Love him!! Been waiting to get him for a while and now he's finally part of my collection. I say it's easy to assemble because of experience, if you're a first-timer for the Crystal Puzzles he might be a little easy to do, just depends. Arrived within two days of shipping and he's a beautiful light ocean blue, stands out from a lot of the main colored puzzles I have.",positive,positive,['puzzle'],"[{'aspect': 'puzzle', 'negative': np.float32(0.00052511215), 'neutral': np.float32(0.0018107715), 'positive': np.float32(0.9976641)}]","['timer', 'collection', 'Crystal', 'days', 'ocean', 'blue', 'experience', 'lot', 'shipping', 'puzzles', 'part', 'while', 'Puzzles']","[{'aspect': 'timer', 'negative': np.float32(0.006280058), 'neutral': np.float32(0.05679298), 'positive': np.float32(0.93692696)}, {'aspect': 'collection', 'negative': np.float32(0.0065744566), 'neutral': np.float32(0.44499087), 'positive': np.float32(0.5484347)}, {'aspect': 'Crystal', 'negative': np.float32(0.006909257), 'neutral': np.float32(0.21253905), 'positive': np.float32(0.78055173)}, {'aspect': 'days', 'negative': np.float32(0.006248193), 'neutral': np.float32(0.06858336), 'positive': np.float32(0.92516845)}, {'aspect': 'ocean', 'negative': np.float32(0.002919728), 'neutral': np.float32(0.015626978), 'positive': np.float32(0.9814533)}, {'aspect': 'blue', 'negative': np.float32(0.0030168386), 'neutral': np.float32(0.012723102), 'positive': np.float32(0.98426)}, {'aspect': 'experience', 'negative': np.float32(0.01074278), 'neutral': np.float32(0.12920722), 'positive': np.float32(0.86005)}, {'aspect': 'lot', 'negative': np.float32(0.011023331), 'neutral': np.float32(0.08210361), 'positive': np.float32(0.906873)}, {'aspect': 'shipping', 'negative': np.float32(0.009602438), 'neutral': np.float32(0.08382025), 'positive': np.float32(0.90657735)}, {'aspect': 'puzzles', 'negative': np.float32(0.014312515), 'neutral': np.float32(0.8621741), 'positive': np.float32(0.123513415)}, {'aspect': 'part', 'negative': np.float32(0.005489824), 'neutral': np.float32(0.083147086), 'positive': np.float32(0.9113631)}, {'aspect': 'while', 'negative': np.float32(0.0066619744), 'neutral': np.float32(0.047263954), 'positive': np.float32(0.94607407)}, {'aspect': 'Puzzles', 'negative': np.float32(0.0114741055), 'neutral': np.float32(0.826277), 'positive': np.float32(0.16224891)}]"
For everyone who loves maple syrup,Love the flavor. This is the first real great tasting sugar-free maple syrup that I have ever bought.,positive,positive,"['maple', 'syrup']","[{'aspect': 'maple', 'negative': np.float32(0.0019871471), 'neutral': np.float32(0.016101703), 'positive': np.float32(0.9819111)}, {'aspect': 'syrup', 'negative': np.float32(0.0030152306), 'neutral': np.float32(0.023764987), 'positive': np.float32(0.9732198)}]","['syrup', 'maple', 'flavor', 'sugar']","[{'aspect': 'syrup', 'negative': np.float32(0.0038478146), 'neutral': np.float32(0.063072756), 'positive': np.float32(0.9330794)}, {'aspect': 'maple', 'negative': np.float32(0.0047420273), 'neutral': np.float32(0.044832923), 'positive': np.float32(0.950425)}, {'aspect': 'flavor', 'negative': np.float32(0.0013889222), 'neutral': np.float32(0.0043316963), 'positive': np.float32(0.9942794)}, {'aspect': 'sugar', 'negative': np.float32(0.6189454), 'neutral': np.float32(0.14603272), 'positive': np.float32(0.23502192)}]"
